Ngày,Giá đóng,Giá điều chỉnh,Giá trị thay đổi,% thay đổi,Tổng KL GD,Tổng GT GD,Giá mở,Giá cao nhất,Giá thấp nhất
28/10/2024,134900.0,134900.0,0.9,0.67,"1,506,000",202640000000.0,134100.0,135000.0,133600.0
25/10/2024,134000.0,134000.0,-0.3,-0.22,"1,839,000",246290000000.0,134300.0,134600.0,133600.0
24/10/2024,134300.0,134300.0,0.1,0.07,"2,277,200",305370000000.0,134200.0,134300.0,133800.0
23/10/2024,134200.0,134200.0,1.1,0.83,"3,015,100",403480000000.0,132900.0,134800.0,132600.0
22/10/2024,133100.0,133100.0,-2.4,-1.77,"6,009,200",806440000000.0,135700.0,135700.0,133000.0
21/10/2024,135500.0,135500.0,-1.5,-1.09,"2,681,300",366270000000.0,137000.0,137700.0,135500.0
18/10/2024,137000.0,137000.0,0,0.00,"2,169,400",297520000000.0,137400.0,137800.0,136600.0
17/10/2024,137000.0,137000.0,0.7,0.51,"2,579,200",351610000000.0,136500.0,137100.0,135500.0
16/10/2024,136300.0,136300.0,-0.7,-0.51,"2,756,000",376150000000.0,136400.0,137100.0,136000.0
15/10/2024,137000.0,137000.0,-0.6,-0.44,"2,860,800",393000000000.0,137600.0,138600.0,136600.0
14/10/2024,137600.0,137600.0,-2,-1.43,"5,605,300",777270000000.0,141100.0,141300.0,137100.0
11/10/2024,139600.0,139600.0,-2.1,-1.48,"3,813,600",536150000000.0,142000.0,142800.0,139600.0
10/10/2024,141700.0,141700.0,6.3,4.65,"9,952,200",1392000000000.0,135800.0,142000.0,135800.0
09/10/2024,135400.0,135400.0,1.6,1.20,"2,619,900",354280000000.0,134300.0,135800.0,134300.0
08/10/2024,133800.0,133800.0,-0.3,-0.22,"2,108,600",282820000000.0,134100.0,135100.0,133600.0
07/10/2024,134100.0,134100.0,0,0.00,"1,330,500",178340000000.0,134200.0,134900.0,133600.0
04/10/2024,134100.0,134100.0,0.1,0.07,"1,468,400",196790000000.0,134300.0,134800.0,133500.0
03/10/2024,134000.0,134000.0,-1.4,-1.03,"2,300,800",311080000000.0,135400.0,136100.0,134000.0
02/10/2024,135400.0,135400.0,-0.5,-0.37,"1,719,800",232880000000.0,134600.0,135900.0,134600.0
01/10/2024,135900.0,135900.0,1.4,1.04,"4,725,900",642310000000.0,134700.0,136200.0,134700.0
28/10/2024,134900.0,134900.0,0.9,0.67,"1,506,000",202640000000.0,134100.0,135000.0,133600.0
25/10/2024,134000.0,134000.0,-0.3,-0.22,"1,839,000",246290000000.0,134300.0,134600.0,133600.0
24/10/2024,134300.0,134300.0,0.1,0.07,"2,277,200",305370000000.0,134200.0,134300.0,133800.0
23/10/2024,134200.0,134200.0,1.1,0.83,"3,015,100",403480000000.0,132900.0,134800.0,132600.0
22/10/2024,133100.0,133100.0,-2.4,-1.77,"6,009,200",806440000000.0,135700.0,135700.0,133000.0
21/10/2024,135500.0,135500.0,-1.5,-1.09,"2,681,300",366270000000.0,137000.0,137700.0,135500.0
18/10/2024,137000.0,137000.0,0,0.00,"2,169,400",297520000000.0,137400.0,137800.0,136600.0
17/10/2024,137000.0,137000.0,0.7,0.51,"2,579,200",351610000000.0,136500.0,137100.0,135500.0
