Ngày,Giá mở,Giá cao nhất,Giá thấp nhất,Giá đóng,Giá điều chỉnh,Giá trị thay đổi,% thay đổi,Tổng KL GD,Tổng GT GD
28/10/2024,134.1,135,133.6,134.9,--,0.9,0.67,"1,506,000",202.64
25/10/2024,134.3,134.6,133.6,134,--,-0.3,-0.22,"1,839,000",246.29
24/10/2024,134.2,134.3,133.8,134.3,--,0.1,0.07,"2,277,200",305.37
23/10/2024,132.9,134.8,132.6,134.2,--,1.1,0.83,"3,015,100",403.48
22/10/2024,135.7,135.7,133,133.1,--,-2.4,-1.77,"6,009,200",806.44
21/10/2024,137,137.7,135.5,135.5,--,-1.5,-1.09,"2,681,300",366.27
18/10/2024,137.4,137.8,136.6,137,--,0,0.00,"2,169,400",297.52
17/10/2024,136.5,137.1,135.5,137,--,0.7,0.51,"2,579,200",351.61
16/10/2024,136.4,137.1,136,136.3,--,-0.7,-0.51,"2,756,000",376.15
15/10/2024,137.6,138.6,136.6,137,--,-0.6,-0.44,"2,860,800",393
14/10/2024,141.1,141.3,137.1,137.6,--,-2,-1.43,"5,605,300",777.27
11/10/2024,142,142.8,139.6,139.6,--,-2.1,-1.48,"3,813,600",536.15
10/10/2024,135.8,142,135.8,141.7,--,6.3,4.65,"9,952,200","1,392"
09/10/2024,134.3,135.8,134.3,135.4,--,1.6,1.20,"2,619,900",354.28
08/10/2024,134.1,135.1,133.6,133.8,--,-0.3,-0.22,"2,108,600",282.82
07/10/2024,134.2,134.9,133.6,134.1,--,0,0.00,"1,330,500",178.34
04/10/2024,134.3,134.8,133.5,134.1,--,0.1,0.07,"1,468,400",196.79
03/10/2024,135.4,136.1,134,134,--,-1.4,-1.03,"2,300,800",311.08
02/10/2024,134.6,135.9,134.6,135.4,--,-0.5,-0.37,"1,719,800",232.88
01/10/2024,134.7,136.2,134.7,135.9,--,1.4,1.04,"4,725,900",642.31
30/09/2024,134.2,134.5,133,134.5,--,0.3,0.22,"3,030,500",404.86
27/09/2024,134.3,134.4,133.5,134.2,--,-0.1,-0.07,"3,352,800",448.85
26/09/2024,135,135,133.9,134.3,--,-0.5,-0.37,"2,815,600",378.1
25/09/2024,134.3,134.8,133.6,134.8,--,0.3,0.22,"4,479,900",601.39
24/09/2024,134,134.7,133.7,134.5,--,0.5,0.37,"2,011,400",269.63
23/09/2024,135.9,135.9,133.4,134,--,-1.3,-0.96,"2,441,200",327.88
20/09/2024,136.3,137,135,135.3,--,0.1,0.07,"3,719,700",506.35
19/09/2024,135,135.8,134.3,135.2,--,0.6,0.45,"5,154,300",695.88
18/09/2024,133.4,135.2,132.9,134.6,--,1.7,1.28,"5,379,600",722.78
17/09/2024,131.2,132.9,131.2,132.9,--,1.8,1.37,"2,651,400",350.67
16/09/2024,131.8,133,131.1,131.1,--,-1.9,-1.43,"1,915,700",252.15
13/09/2024,132.2,133.4,132,133,--,0.7,0.53,"3,186,800",423.78
12/09/2024,131,132.5,131,132.3,--,1.7,1.30,"4,118,000",543.3
11/09/2024,130,131.3,129.8,130.6,--,0.6,0.46,"3,190,400",416.16
10/09/2024,131,131,129.6,130,--,-1.3,-0.99,"4,195,100",546.65
09/09/2024,130.8,131.9,130.1,131.3,--,-0.8,-0.61,"2,885,200",377.09
06/09/2024,130.5,132.9,130.3,132.1,--,1.5,1.15,"3,821,400",503.72
05/09/2024,133,133,129.7,130.6,--,-2.4,-1.80,"8,055,600","1,051.19"
04/09/2024,133,133,131.5,133,--,-1.8,-1.34,"4,535,200",600.25
30/08/2024,133.5,134.9,133,134.8,--,1.1,0.82,"3,315,800",446.15
29/08/2024,132.8,133.8,132.2,133.7,--,0.4,0.30,"2,092,700",278.68
28/08/2024,133,134.5,132.9,133.3,--,0.8,0.60,"2,711,500",362.34
27/08/2024,131.5,132.6,130.4,132.5,--,1,0.76,"2,338,500",308.17
26/08/2024,133.3,133.5,131.5,131.5,--,-1.6,-1.20,"2,590,300",342.21
