,Ngày,Giá mở,Giá cao nhất,Giá thấp nhất,Giá đóng,Giá điều chỉnh,Giá trị thay đổi,% thay đổi,Tổng KL GD,Tổng GT GD
0,13/12/2024,149.5,150.9,149.4,149.5,--,-0.7,-0.47,"3,379,800",506.94
1,12/12/2024,151.9,151.9,149.2,150.2,--,-0.3,-0.20,"4,147,900",622.84
2,11/12/2024,150,151.7,149.7,150.5,--,1,0.67,"4,816,600",726.23
3,10/12/2024,147.1,149.5,147,149.5,--,2.5,1.70,"3,597,200",533.51
4,09/12/2024,149.2,149.5,146.1,147,--,-2.5,-1.67,"4,539,000",667.47
5,06/12/2024,151.9,151.9,148,149.5,--,1,0.67,"4,541,200",678.95
6,05/12/2024,144,148.5,143.6,148.5,--,5,3.48,"4,849,200",707.11
7,04/12/2024,145,146.3,142.8,143.5,--,-1.5,-1.03,"5,609,100",813.74
8,03/12/2024,141.7,145.9,141.7,145,--,2.8,1.97,"5,103,700",734.27
9,02/12/2024,144.3,146,141.6,142.2,--,-1.1,-0.77,"6,616,800",949.44
10,29/11/2024,139.4,145.4,139,144.3,143.3,4.9,3.52,"11,586,700","1,652.18"
11,28/11/2024,139.4,140,138.3,139.4,138.44,0.5,0.36,"4,742,700",660.34
12,27/11/2024,135.2,139.7,135.2,138.9,137.94,3.7,2.74,"9,814,300","1,358.07"
13,26/11/2024,133.4,135.9,133.3,135.2,134.27,1.3,0.97,"4,176,100",562.87
14,25/11/2024,134,134,133.2,133.9,132.98,0,0.00,"1,849,700",247.3
15,22/11/2024,132.9,134.4,132.5,133.9,132.98,0.9,0.68,"2,915,900",389.77
16,21/11/2024,132.4,133,131,133,132.08,0.6,0.45,"3,176,700",419.16
17,20/11/2024,130,132.4,126.7,132.4,131.49,2.4,1.85,"8,460,300","1,092.05"
18,19/11/2024,133.5,133.6,129.9,130,129.1,-4,-2.99,"7,642,800","1,000.8"
19,18/11/2024,134,134.6,132.5,134,133.08,0.1,0.07,"3,903,400",521
20,15/11/2024,135.3,135.7,132.6,133.9,132.98,-2.1,-1.54,"6,563,600",878.2
21,15/11/2024,135.3,135.7,132.6,133.9,132.98,-2.1,-1.54,"6,563,600",878.2
22,14/11/2024,137.9,139.9,136,136,135.06,-1.8,-1.31,"4,736,300",652.75
23,13/11/2024,136.7,138.1,136.1,137.8,136.85,1,0.73,"3,455,400",474.34
24,12/11/2024,138.6,138.9,135.9,136.8,135.86,-1.5,-1.08,"2,914,700",398.84
25,11/11/2024,136.5,139.5,136,138.3,137.35,2.5,1.84,"5,292,000",728.54
26,08/11/2024,136.1,136.8,135.1,135.8,134.86,0.7,0.52,"2,106,300",286.09
27,07/11/2024,135.3,137.6,134.2,135.1,134.17,0.5,0.37,"3,570,500",484.91
28,06/11/2024,133.1,134.6,133,134.6,133.67,2,1.51,"1,801,500",241.41
29,05/11/2024,133,134,132.3,132.6,131.69,-0.2,-0.15,"1,657,100",220.03
30,04/11/2024,134.6,134.6,132.7,132.8,131.88,-1.8,-1.34,"3,182,900",424.07
31,01/11/2024,135,135,133.6,134.6,133.67,-1.3,-0.96,"2,667,500",358.25
32,31/10/2024,135.9,136,135.3,135.9,134.96,0,0.00,"1,241,700",168.45
33,30/10/2024,135.4,135.9,135.2,135.9,134.96,0.5,0.37,"1,709,800",231.78
34,29/10/2024,135.4,135.5,134.8,135.4,134.47,0.5,0.37,"2,459,200",332.04
35,28/10/2024,134.1,135,133.6,134.9,133.97,0.9,0.67,"1,506,000",202.64
36,25/10/2024,134.3,134.6,133.6,134,133.08,-0.3,-0.22,"1,839,000",246.29
37,24/10/2024,134.2,134.3,133.8,134.3,133.37,0.1,0.07,"2,277,200",305.37
38,23/10/2024,132.9,134.8,132.6,134.2,133.27,1.1,0.83,"3,015,100",403.48
39,22/10/2024,135.7,135.7,133,133.1,132.18,-2.4,-1.77,"6,009,200",806.44
40,21/10/2024,137,137.7,135.5,135.5,134.56,-1.5,-1.09,"2,681,300",366.27
41,18/10/2024,137.4,137.8,136.6,137,136.05,0,0.00,"2,169,400",297.52
42,17/10/2024,136.5,137.1,135.5,137,136.05,0.7,0.51,"2,579,200",351.61
43,16/10/2024,136.4,137.1,136,136.3,135.36,-0.7,-0.51,"2,756,000",376.15
44,15/10/2024,137.6,138.6,136.6,137,136.05,-0.6,-0.44,"2,860,800",393
45,14/10/2024,141.1,141.3,137.1,137.6,136.65,-2,-1.43,"5,605,300",777.27
46,11/10/2024,142,142.8,139.6,139.6,138.64,-2.1,-1.48,"3,813,600",536.15
47,10/10/2024,135.8,142,135.8,141.7,140.72,6.3,4.65,"9,952,200","1,392"
48,09/10/2024,134.3,135.8,134.3,135.4,134.47,1.6,1.20,"2,619,900",354.28
49,08/10/2024,134.1,135.1,133.6,133.8,132.88,-0.3,-0.22,"2,108,600",282.82
50,07/10/2024,134.2,134.9,133.6,134.1,133.17,0,0.00,"1,330,500",178.34
51,04/10/2024,134.3,134.8,133.5,134.1,133.17,0.1,0.07,"1,468,400",196.79
52,03/10/2024,135.4,136.1,134,134,133.08,-1.4,-1.03,"2,300,800",311.08
53,02/10/2024,134.6,135.9,134.6,135.4,134.47,-0.5,-0.37,"1,719,800",232.88
54,01/10/2024,134.7,136.2,134.7,135.9,134.96,1.4,1.04,"4,725,900",642.31
55,30/09/2024,134.2,134.5,133,134.5,133.57,0.3,0.22,"3,030,500",404.86
56,27/09/2024,134.3,134.4,133.5,134.2,133.27,-0.1,-0.07,"3,352,800",448.85
57,26/09/2024,135,135,133.9,134.3,133.37,-0.5,-0.37,"2,815,600",378.1
