params,mean_fit_time,mean_score_time,mean_test_score,rank_test_score
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.000759124755859375,0.0003474235534667969,0.925,72
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.0008013725280761718,0.0006007194519042969,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.0010005950927734375,0.0004004955291748047,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.0005993843078613281,0.0005994319915771484,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.0010948657989501953,0.0002094268798828125,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.0010442733764648438,0.0006931304931640625,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.0005702972412109375,0.0005709648132324219,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.00040163993835449217,0.0005024909973144531,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.000504159927368164,0.000796651840209961,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.0007997512817382813,0.0006005287170410157,0.9333333333333333,57
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.0007081031799316406,0.0004002571105957031,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.0007992744445800781,0.0005995750427246094,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.0008013725280761718,0.0005999565124511719,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.0005994796752929688,0.0005006790161132812,0.9333333333333333,57
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.0006025791168212891,0.0007014274597167969,0.9333333333333333,57
