params,mean_fit_time,mean_score_time,mean_test_score,rank_test_score
"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.0017034053802490235,0.0010342597961425781,0.35,30
"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.001702737808227539,0.0010244369506835938,0.35,30
"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.001319551467895508,0.0009185791015625,0.35,30
"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.0011170864105224609,0.001104879379272461,0.875,28
"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.0014089107513427734,0.0007998466491699219,0.875,28
"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.004102468490600586,0.0017099380493164062,0.8833333333333334,26
"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.001000356674194336,0.0009995460510253905,0.8833333333333334,26
"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.0007059574127197266,0.001513195037841797,0.9416666666666667,24
"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.0016097545623779297,0.00040063858032226565,0.9416666666666667,24
"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.0012000560760498046,0.000800180435180664,0.95,19
"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.0007988452911376953,0.0004004955291748047,0.95,19
"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.0010028839111328124,0.0006003379821777344,0.95,19
"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.0007999897003173828,0.000800466537475586,0.95,19
"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.0011003971099853515,0.0005002498626708984,0.95,19
"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.0008001327514648438,0.0005999088287353515,0.9583333333333333,14
"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.0016042232513427735,0.0005993843078613281,0.9583333333333333,14
"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.0008035659790039063,0.00040235519409179685,0.9583333333333333,14
"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.0010099411010742188,0.0006108283996582031,0.9583333333333333,14
"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.0010006427764892578,0.0008005619049072266,0.9583333333333333,14
"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.001002359390258789,0.0006010532379150391,0.9583333333333334,11
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.0009047508239746094,0.0010057449340820312,0.9583333333333334,11
"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.0011003971099853515,0.0010024070739746093,0.9583333333333334,11
"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.001207590103149414,0.0005052089691162109,0.9666666666666668,5
"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.0011989116668701173,0.000599527359008789,0.9666666666666668,5
"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.0010004043579101562,0.0007997989654541015,0.9666666666666668,5
"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",0.0011045455932617188,0.0008014678955078125,0.9666666666666668,5
"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.0011035919189453125,0.0010019302368164062,0.9666666666666668,5
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.001200103759765625,0.0008026123046875,0.9666666666666668,5
"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.0009138107299804688,0.0006024837493896484,0.975,1
"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.0013029098510742188,0.0005151271820068359,0.975,1
"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.0010038375854492187,0.0007999420166015625,0.975,1
"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.0007008552551269531,0.0008060932159423828,0.975,1
